asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
orb_shell_scene_hierarchy_panel,orb_shell_scene_hierarchy_panel,orbengine_ui_shell/orb_shell_scene_hierarchy_panel.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:19:06.311080+00:00,2026-03-12T19:19:06.311080+00:00,ae346e9fcf3d5b46d0a318dcefc4143dc77472794618524785d75f1d74d1b499,1024,1024,746562
orb_shell_main_window_frame,orb_shell_main_window_frame,orbengine_ui_shell/orb_shell_main_window_frame.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:19:06.562820+00:00,2026-03-12T19:19:06.562820+00:00,1398f38806ce9fe376b365160141e8a12c1cb6f2013db1866d58ca477edfb453,1024,1024,1414227
orb_shell_inspector_panel,orb_shell_inspector_panel,orbengine_ui_shell/orb_shell_inspector_panel.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:19:07.156587+00:00,2026-03-12T19:19:07.156587+00:00,eecfa013c9686fc62e5c6d2bcdc641faab290016b86a274925d782810a18606b,1024,1024,641794
orb_shell_asset_browser_panel,orb_shell_asset_browser_panel,orbengine_ui_shell/orb_shell_asset_browser_panel.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:19:07.848110+00:00,2026-03-12T19:19:07.848110+00:00,a365129a67020bff8a30398d481f66ad43362c2e0b46df9f186165d9936bcf57,1024,1024,596100
orb_shell_nodegraph_window,orb_shell_nodegraph_window,orbengine_ui_shell/orb_shell_nodegraph_window.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:19:20.586518+00:00,2026-03-12T19:19:20.586518+00:00,063942d4a695c17a38ce48c40de7e12edde418abe297a359e6418855fb4c5815,1024,1024,1233950
orb_shell_console_log_panel,orb_shell_console_log_panel,orbengine_ui_shell/orb_shell_console_log_panel.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:19:21.489830+00:00,2026-03-12T19:19:21.489830+00:00,41337896df4bae9a3dca0b6bcf37441b1cda4017c858d6bfaa67f8bebe1bfa7d,1024,1024,769150
orb_shell_timeline_panel,orb_shell_timeline_panel,orbengine_ui_shell/orb_shell_timeline_panel.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:19:23.494557+00:00,2026-03-12T19:19:23.494557+00:00,fb2f9181405cf55a7ec9c82286fd394817c8f4e3d5a82fbe21a24f0ad94ab6d7,1024,1024,1257779
orb_shell_tool_properties_float,orb_shell_tool_properties_float,orbengine_ui_shell/orb_shell_tool_properties_float.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:19:23.551662+00:00,2026-03-12T19:19:23.551662+00:00,229c3115fd0f7d82bd7a2010c1d023804dc7a3800d179726e5d4621da0de8740,1024,1024,1237999
orb_shell_command_palette,orb_shell_command_palette,orbengine_ui_shell/orb_shell_command_palette.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:19:35.773615+00:00,2026-03-12T19:19:35.773615+00:00,c297ff9689614d035ddd34ee7a0a95d7935d95c4b90e7b74823cbc0ba52bd138,1024,1024,925858
orb_shell_docking_overlay_guides,orb_shell_docking_overlay_guides,orbengine_ui_shell/orb_shell_docking_overlay_guides.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:19:37.098440+00:00,2026-03-12T19:19:37.098440+00:00,fbd277f843734b0a5f068e208947b628917d30f7320d2047d5399e7fab99da36,1024,1024,525224
