asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
artbook_block_nine_exterior,artbook_block_nine_exterior,artbook/page03_block_nine.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:23.258782+00:00,2026-03-12T19:20:23.258782+00:00,fdc5d3f877e6e093ed809ff3c34c9ef09954cf1ad4e2aa78b3c1fb60e2f3b763,1344,768,1423166
artbook_cover,artbook_cover,artbook/page01_cover.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:23.970245+00:00,2026-03-12T19:20:23.970245+00:00,0e5f5512ebac44c58ba2c99873e249cd699ad1c9b5f84cc932925b0b9094b685,1344,768,1504286
artbook_enfant_designsheet,artbook_enfant_designsheet,artbook/page02_enfant_design.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:26.141345+00:00,2026-03-12T19:20:26.141345+00:00,306941760bfb6fdcea0c390b36f0d5634abe28bfb2c545a9712c28ae36ac2634,1344,768,1468288
artbook_detn_dimension,artbook_detn_dimension,artbook/page04_detn_dimension.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:26.151568+00:00,2026-03-12T19:20:26.151568+00:00,59c5b481b38dd5bd3d4c674bac0c3f7cbdb52fbcd2440a11234f75f034570a97,1344,768,1637216
artbook_crepulin_lifecycle,artbook_crepulin_lifecycle,artbook/page05_crepulin_lifecycle.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:40.648835+00:00,2026-03-12T19:20:40.648835+00:00,c4d2e563268ba4ca6f2a038d4ffc45d19056242401547210310e554480c107cf,1344,768,1423268
artbook_domov_kikimora,artbook_domov_kikimora,artbook/page06_domov_kikimora.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:42.481232+00:00,2026-03-12T19:20:42.481232+00:00,3545cf2c3b5f30cd38383ab8498871492b23ec87e500b0fce673846d08971aaf,1344,768,1637472
artbook_black_volga,artbook_black_volga,artbook/page08_black_volga.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:42.600578+00:00,2026-03-12T19:20:42.600578+00:00,e25f9167e95e7c02431e8c91b7668c1b042df0611df3f917ac159013cf8259bf,1344,768,1384674
artbook_babka_hut,artbook_babka_hut,artbook/page07_babka_hut.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:43.351930+00:00,2026-03-12T19:20:43.351930+00:00,ca877176e232607916af7df5cbfe46df61be56b0022d25c5b0fd993239e92e39,1344,768,1415228
artbook_ritual_tools,artbook_ritual_tools,artbook/page10_ritual_tools.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:57.865255+00:00,2026-03-12T19:20:57.865255+00:00,c2bf236c9f47c6fafc27ddd57a4da5fc1acc864eee67ff09553951c536b5541a,1344,768,1631752
artbook_bird_reactor,artbook_bird_reactor,artbook/page09_bird_reactor.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T19:20:58.173588+00:00,2026-03-12T19:20:58.173588+00:00,2678a3a3b8ae511690083511d39e9076b5242260d3d6d044afcda5636cbdff85,1344,768,1474442
