asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
shoreline_brine_stone_final_v1,shoreline_brine_stone_final_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/final/env_tile/shoreline_brine_stone_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:21.928543+00:00,2026-03-12T04:28:21.928543+00:00,f845b100ee50b218fb9bcab2fd3fd3fd01c3c7d689257c323723a58850ab90f5,1024,1024,1525090
mud_path_rut_final_v1,mud_path_rut_final_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/final/env_tile/mud_path_rut_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:24.040730+00:00,2026-03-12T04:28:24.040730+00:00,05e87c50a6d2194ab36aa89ef8b1468921e0392e73ed5cdc884cdbe678a4bfb2,1024,1024,1664528
shoreline_brine_stone_precision_v1,shoreline_brine_stone_precision_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/precision/env_tile/shoreline_brine_stone_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:24.553143+00:00,2026-03-12T04:28:24.553143+00:00,ec335fc782b1b9ca50f734b6cc4d3407c1364c139de9efccc9801bf769595b20,1024,1024,1509102
mud_path_rut_precision_v1,mud_path_rut_precision_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/precision/env_tile/mud_path_rut_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:25.101740+00:00,2026-03-12T04:28:25.101740+00:00,be9c97fb946d385105e92a5349f1315c90118f05f7fe981ab7e5d6ca4f2211bf,1024,1024,1649874
reef_spike_ground_final_v1,reef_spike_ground_final_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/final/env_tile/reef_spike_ground_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:37.240191+00:00,2026-03-12T04:28:37.240191+00:00,d74a9e056f69253c6d944600fa2bdcb245fa479a5677f13744d6e6e9c07c7066,1024,1024,1743294
dock_plank_wet_final_v1,dock_plank_wet_final_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/final/env_tile/dock_plank_wet_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:39.536645+00:00,2026-03-12T04:28:39.536645+00:00,46f3ae9a0a941ae24a483acc4533dc0c478006281a313404e968dfcecc116c8e,1024,1024,1789514
reef_spike_ground_precision_v1,reef_spike_ground_precision_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/precision/env_tile/reef_spike_ground_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:40.449319+00:00,2026-03-12T04:28:40.449319+00:00,cd260fb22eb7c8fe22042f6b05c23b3777b51aa2740ce49b4bdc209f5d888ee2,1024,1024,1694104
dock_plank_wet_precision_v1,dock_plank_wet_precision_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/precision/env_tile/dock_plank_wet_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:42.099188+00:00,2026-03-12T04:28:42.099188+00:00,aa703a538f25553e63d5bcbf680cf08775f612ae8cd0b5a3bee91e200abdc84e,1024,1024,1592770
shrine_basin_floor_final_v1,shrine_basin_floor_final_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/final/env_tile/shrine_basin_floor_final_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:53.016935+00:00,2026-03-12T04:28:53.016935+00:00,9eecfdbec2c9cd0d8bc88e023aa477ac6f15eabffd3d695697f5d7add83d94ee,1024,1024,1682866
shrine_basin_floor_precision_v1,shrine_basin_floor_precision_v1,../../ORBEngine/assets/innsmouth_island/tiles_skybox_pair_expansion/precision/env_tile/shrine_basin_floor_precision_v1.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,tile_pair_budget1500_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T04:28:56.244927+00:00,2026-03-12T04:28:56.244927+00:00,132b7dafcb7bd0fdbf4e606acbe20d19be48cdbcf555873f07f38e3a04effad6,1024,1024,1507546
