asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
innsmouth_player_heavy_combo_keyframes_v3,innsmouth_player_heavy_combo_keyframes_v3,../../ORBEngine/assets/innsmouth_island/complete_game/player/innsmouth_player_heavy_combo_keyframes_v3.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,transparent_orb32_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:12:18.021252+00:00,2026-03-12T02:12:18.021252+00:00,6ffbe564ed4806a171864a26b48081cf1eb955914d07474c920893d3b8716336,1024,1024,1463227
innsmouth_player_light_combo_keyframes_v3,innsmouth_player_light_combo_keyframes_v3,../../ORBEngine/assets/innsmouth_island/complete_game/player/innsmouth_player_light_combo_keyframes_v3.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,transparent_orb32_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:12:20.167488+00:00,2026-03-12T02:12:20.167488+00:00,f27ad7d519ea8b555c554118794acbae9e6057fda3bb87a345caa1d2dcd5c1ee,1024,1024,2097370
innsmouth_player_air_and_dodge_keyframes_v3,innsmouth_player_air_and_dodge_keyframes_v3,../../ORBEngine/assets/innsmouth_island/complete_game/player/innsmouth_player_air_and_dodge_keyframes_v3.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,transparent_orb32_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:12:20.396979+00:00,2026-03-12T02:12:20.396979+00:00,7c92e84879df421d1717df5ec2745e41e7ae30ba5185a6b176d881db59c4f8c4,1024,1024,1703959
innsmouth_player_core_master_sheet_v3,innsmouth_player_core_master_sheet_v3,../../ORBEngine/assets/innsmouth_island/complete_game/player/innsmouth_player_core_master_sheet_v3.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,transparent_orb32_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:12:21.311028+00:00,2026-03-12T02:12:21.311028+00:00,e43a7a104528e6f1c3dbcea560f6d1073ddb687d50f19b40ec3ff6c15c46fdf2,1216,896,1394219
innsmouth_player_throw_and_shrine_keyframes_v3,innsmouth_player_throw_and_shrine_keyframes_v3,../../ORBEngine/assets/innsmouth_island/complete_game/player/innsmouth_player_throw_and_shrine_keyframes_v3.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,transparent_orb32_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:12:35.745908+00:00,2026-03-12T02:12:35.745908+00:00,225f645da4aaa184bf0e1535d562aa966a1342407d97c248adb961c957aba415,1024,1024,2803620
innsmouth_deep_one_raider_action_sheet_v3,innsmouth_deep_one_raider_action_sheet_v3,../../ORBEngine/assets/innsmouth_island/complete_game/enemies/innsmouth_deep_one_raider_action_sheet_v3.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,transparent_orb32_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:12:37.062052+00:00,2026-03-12T02:12:37.062052+00:00,7a60da4755d0500a585bcbcca47d332c3e9877f8e9f8f83a3c1dfd4521fa0043,1024,1024,1582341
innsmouth_player_turnaround_single_frames_v3,innsmouth_player_turnaround_single_frames_v3,../../ORBEngine/assets/innsmouth_island/complete_game/player/innsmouth_player_turnaround_single_frames_v3.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,transparent_orb32_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:12:37.313395+00:00,2026-03-12T02:12:37.313395+00:00,827b1bc705cfe8e255b85d1fe740d3587029508a4310d9e1ede6497a97679ef4,1024,1024,1752622
innsmouth_enemy_roster_portraits_v3,innsmouth_enemy_roster_portraits_v3,../../ORBEngine/assets/innsmouth_island/complete_game/enemies/innsmouth_enemy_roster_portraits_v3.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,transparent_orb32_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:12:39.754846+00:00,2026-03-12T02:12:39.754846+00:00,1e43ed89ea6afeb2506b375887b5fe11b1750d4a8602a83a7ae30ead62acff06,1216,896,1718776
innsmouth_nightgaunt_stalker_action_sheet_v3,innsmouth_nightgaunt_stalker_action_sheet_v3,../../ORBEngine/assets/innsmouth_island/complete_game/enemies/innsmouth_nightgaunt_stalker_action_sheet_v3.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,transparent_orb32_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:12:53.670335+00:00,2026-03-12T02:12:53.670335+00:00,0da58179360e11ae378147a69adefa1f391a3b0eef9d9474bc180a5bc9d91cee,1024,1024,1506526
innsmouth_shoggoth_spawn_action_sheet_v3,innsmouth_shoggoth_spawn_action_sheet_v3,../../ORBEngine/assets/innsmouth_island/complete_game/enemies/innsmouth_shoggoth_spawn_action_sheet_v3.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,transparent_orb32_v1,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T02:12:54.055349+00:00,2026-03-12T02:12:54.055349+00:00,fe034b2164dc875461fa443c57c01b7d41f9e9435c0fc249bba8500bcc7bb588,1024,1024,2340248
