asset_family,manifest_entry,planned_output,source_basis,external_reference_urls,rights_basis,usage_mode,prompt_revision,status,notes,generated_at_utc,file_sha256,image_width,image_height,file_size_bytes
splash_ecbmps_gutenberg,splash_ecbmps_gutenberg,raw_gutenberg/branding/splash_ecbmps.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:14:30.380247+00:00,2026-03-12T21:14:30.380247+00:00,534c1e589f90c88641051622951e7e0af18068f2be8e12ebd12e5a958c1ea4a2,1344,768,990496
ecbmps_icon_16_gutenberg,ecbmps_icon_16_gutenberg,raw_gutenberg/icons/ecbmps_icon_16.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:14:44.630394+00:00,2026-03-12T21:14:44.630394+00:00,c2cf40e9098676b8f908bf896e09d3c1b5c8fe5b6440b97accc52ae2c370fe25,1024,1024,911566
ecbmps_icon_32_gutenberg,ecbmps_icon_32_gutenberg,raw_gutenberg/icons/ecbmps_icon_32.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:14:58.929084+00:00,2026-03-12T21:14:58.929084+00:00,5d6daf6a28e9c75b3f0c8b65684bf7b49d7659d5365951441e8deba55d35b3e4,1024,1024,1377402
ecbmps_icon_48_gutenberg,ecbmps_icon_48_gutenberg,raw_gutenberg/icons/ecbmps_icon_48.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:15:13.043070+00:00,2026-03-12T21:15:13.043070+00:00,a3f4ab91c14f91110ade3cbe671ba8dd0630566a39b19d05b96a0b19b311a3e9,1024,1024,1646980
ecbmps_icon_64_gutenberg,ecbmps_icon_64_gutenberg,raw_gutenberg/icons/ecbmps_icon_64.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:15:27.159011+00:00,2026-03-12T21:15:27.159011+00:00,c0aa74cac4b277e44b7ee62c8c976711b4948f6767cbb07bed350f940e58e741,1024,1024,1416626
ecbmps_icon_128_gutenberg,ecbmps_icon_128_gutenberg,raw_gutenberg/icons/ecbmps_icon_128.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:15:41.817921+00:00,2026-03-12T21:15:41.817921+00:00,e410833f27730aa0bb7210915e62e5c85c85ed42f88a8b3ce1c83ff8fb3b0c2c,1024,1024,1096420
ecbmps_icon_256_gutenberg,ecbmps_icon_256_gutenberg,raw_gutenberg/icons/ecbmps_icon_256.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:15:56.610952+00:00,2026-03-12T21:15:56.610952+00:00,fbb6e068493e020c93a108299a5afa957ddf1f4db0372a12f373a2ffb97be701,1024,1024,1776390
ecbmps_frame_tl_gutenberg,ecbmps_frame_tl_gutenberg,raw_gutenberg/gui/ecbmps/frame_tl.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:16:09.635544+00:00,2026-03-12T21:16:09.635544+00:00,3f794b5321afb80a3aace0e976e5d63ad33c91f483db68f4152fe6fc49c25df5,1024,1024,1458938
ecbmps_frame_tr_gutenberg,ecbmps_frame_tr_gutenberg,raw_gutenberg/gui/ecbmps/frame_tr.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:16:22.137171+00:00,2026-03-12T21:16:22.137171+00:00,ef7d6698bacdb5971ce2802b43fa233568da5c689d418376d88e5dab8d83976e,1024,1024,1169744
ecbmps_frame_bl_gutenberg,ecbmps_frame_bl_gutenberg,raw_gutenberg/gui/ecbmps/frame_bl.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:16:38.276411+00:00,2026-03-12T21:16:38.276411+00:00,29c55ecd7d8b1c9bdac9ed0d7437417766e7818d932619741131ba844dada4d5,1024,1024,1192532
ecbmps_frame_br_gutenberg,ecbmps_frame_br_gutenberg,raw_gutenberg/gui/ecbmps/frame_br.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:16:52.435847+00:00,2026-03-12T21:16:52.435847+00:00,a960f31a877e6a7704003cdccc397b27e2b840a58e7602b8802d8e918ebb9d73,1024,1024,1428320
ecbmps_titlebar_bg_gutenberg,ecbmps_titlebar_bg_gutenberg,raw_gutenberg/gui/ecbmps/titlebar/titlebar_bg.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:17:05.812636+00:00,2026-03-12T21:17:05.812636+00:00,605d694f3be0054d5b1307e6a75dd5f2bda491c5c9e3ef7741bb2cbfd39c19f7,1344,768,1626236
ecbmps_close_normal_gutenberg,ecbmps_close_normal_gutenberg,raw_gutenberg/gui/ecbmps/titlebar/close_normal.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:17:18.841015+00:00,2026-03-12T21:17:18.841015+00:00,c0756d2f7c397cdc409af2145bbf6d274469aaeb4a0b681fa99c3a885830231d,1024,1024,798958
ecbmps_close_hover_gutenberg,ecbmps_close_hover_gutenberg,raw_gutenberg/gui/ecbmps/titlebar/close_hover.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:17:31.607470+00:00,2026-03-12T21:17:31.607470+00:00,bc702cff314e711d6bd67fc65be4878414ed42e3d3ec66daba39a73b2e781ec8,1024,1024,1367588
ecbmps_close_pressed_gutenberg,ecbmps_close_pressed_gutenberg,raw_gutenberg/gui/ecbmps/titlebar/close_pressed.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:17:44.697004+00:00,2026-03-12T21:17:44.697004+00:00,a5982365a11c846faa643f4299ac76f08235a9bea20669af90b04a2157ccb8dd,1024,1024,1392100
ecbmps_min_normal_gutenberg,ecbmps_min_normal_gutenberg,raw_gutenberg/gui/ecbmps/titlebar/minimize_normal.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:17:57.582409+00:00,2026-03-12T21:17:57.582409+00:00,d07c011e172a4361bfdd4879d366f82190403fc2f20a1718138476731ecfa4a8,1024,1024,436570
ecbmps_min_hover_gutenberg,ecbmps_min_hover_gutenberg,raw_gutenberg/gui/ecbmps/titlebar/minimize_hover.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:18:09.920514+00:00,2026-03-12T21:18:09.920514+00:00,ce319faef2af103c734bdd0873ee823fd673955bcc991634744e98c457c06032,1024,1024,874200
ecbmps_max_normal_gutenberg,ecbmps_max_normal_gutenberg,raw_gutenberg/gui/ecbmps/titlebar/maximize_normal.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:18:23.388027+00:00,2026-03-12T21:18:23.388027+00:00,d43b2f04d54a881bff6121e99eeb25c6392dedd667d48595d6bfa24b40cf9773,1024,1024,1016820
ecbmps_max_hover_gutenberg,ecbmps_max_hover_gutenberg,raw_gutenberg/gui/ecbmps/titlebar/maximize_hover.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:18:37.697088+00:00,2026-03-12T21:18:37.697088+00:00,ed7cc9fb315f331bb12fdfe795bbc423b7dcb47d8f8832107595297b269303c8,1024,1024,1479662
ecbmps_bg_light_gutenberg,ecbmps_bg_light_gutenberg,raw_gutenberg/gui/ecbmps/backgrounds/light.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:18:50.733036+00:00,2026-03-12T21:18:50.733036+00:00,47448ff032e93c997bf9a25c93333342f92da6d636013482f562f8fb1d139d53,1344,768,1341836
ecbmps_bg_dark_gutenberg,ecbmps_bg_dark_gutenberg,raw_gutenberg/gui/ecbmps/backgrounds/dark.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:19:04.300692+00:00,2026-03-12T21:19:04.300692+00:00,d7b11bb41c3cd20dc13fd04400302499b32ed1a169116ca2f25287af752d7e2a,1344,768,1638568
ecbmps_bg_sepia_gutenberg,ecbmps_bg_sepia_gutenberg,raw_gutenberg/gui/ecbmps/backgrounds/sepia.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:19:17.662295+00:00,2026-03-12T21:19:17.662295+00:00,c110890c4ccb22a681be8c067af358fb2a30955b73c3f4ee28b5af13c87fc8a5,1344,768,1616100
ecbmps_bg_night_gutenberg,ecbmps_bg_night_gutenberg,raw_gutenberg/gui/ecbmps/backgrounds/night.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:19:31.909185+00:00,2026-03-12T21:19:31.909185+00:00,d577382d82401a6e6c694ce749ab21632d2a434f56dd6afc03beef31e37785d6,1344,768,1628488
ecbmps_scroll_thumb_gutenberg,ecbmps_scroll_thumb_gutenberg,raw_gutenberg/gui/ecbmps/scrollbar/thumb.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:19:44.354831+00:00,2026-03-12T21:19:44.354831+00:00,8cefee44b022b539bf4141d1a22e896eb8671c6004e6899a13f4312eb141acf4,1024,1024,637974
ecbmps_scroll_track_gutenberg,ecbmps_scroll_track_gutenberg,raw_gutenberg/gui/ecbmps/scrollbar/track.png,Manifest-driven Recraft generation,,User-owned Recraft account output,Direct API generation,auto,generated,Generated automatically via batch_run_manifest.py at 2026-03-12T21:19:57.372681+00:00,2026-03-12T21:19:57.372681+00:00,790b1e4eecfa31e64c610396f2c2de853dc587b3c3c80ea207b8afba7888cd35,768,1344,372282
